CSDSG Shear B matrix construction time

 0.000039s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000007s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000007s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000008s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000007s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000007s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000016s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000010s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000015s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000024s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000019s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000014s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
