Original DSG Shear B matrix construction times

 0.000050s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000009s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000009s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000009s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000009s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000009s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000010s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000010s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000018s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000009s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000010s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000016s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000016s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000010s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000016s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000013s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000010s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000010s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000016s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000010s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000012s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
 0.000011s wall, 0.000000s user + 0.000000s system = 0.000000s CPU (n/a%)
