Graph  1
Node Disp:DZ  Node 117
   Point                    X                    Y
       1  1.00000000000E-0002 -2.66020742683E-0004 
       2  2.00000000000E-0002 -1.45882442754E-0003 
       3  3.00000000000E-0002 -4.23806046700E-0003 
       4  4.00000000000E-0002 -8.85109291735E-0003 
       5  5.00000000000E-0002 -1.49489878441E-0002 
       6  6.00000000000E-0002 -2.21351619502E-0002 
       7  7.00000000000E-0002 -3.06108436082E-0002 
       8  8.00000000000E-0002 -4.08318365693E-0002 
       9  9.00000000000E-0002 -5.28133684636E-0002 
      10  1.00000000000E-0001 -6.60793134217E-0002 
      11  1.10000000000E-0001 -8.04274625628E-0002 
      12  1.20000000000E-0001 -9.62195845184E-0002 
      13  1.30000000000E-0001 -1.13754524750E-0001 
      14  1.40000000000E-0001 -1.32869717658E-0001 
      15  1.50000000000E-0001 -1.53130175238E-0001 
      16  1.60000000000E-0001 -1.74427698535E-0001 
      17  1.70000000000E-0001 -1.97179453095E-0001 
      18  1.80000000000E-0001 -2.21597025982E-0001 
      19  1.90000000000E-0001 -2.47284394082E-0001 
      20  2.00000000000E-0001 -2.73815847539E-0001 
      21  2.10000000000E-0001 -3.01297719313E-0001 
      22  2.20000000000E-0001 -3.30113588353E-0001 
      23  2.30000000000E-0001 -3.60190988022E-0001 
      24  2.40000000000E-0001 -3.91021645294E-0001 
      25  2.50000000000E-0001 -4.22339230332E-0001 
      26  2.60000000000E-0001 -4.54290896729E-0001 
      27  2.70000000000E-0001 -4.87086977021E-0001 
      28  2.80000000000E-0001 -5.20496681703E-0001 
      29  2.90000000000E-0001 -5.53948559410E-0001 
      30  3.00000000000E-0001 -5.87244253609E-0001 
      31  3.10000000000E-0001 -6.20598240849E-0001 
      32  3.20000000000E-0001 -6.54014915685E-0001 
      33  3.30000000000E-0001 -6.87039093272E-0001 
      34  3.40000000000E-0001 -7.19190757649E-0001 
      35  3.50000000000E-0001 -7.50417213631E-0001 
      36  3.60000000000E-0001 -7.80815801429E-0001 
      37  3.70000000000E-0001 -8.10173556621E-0001 
      38  3.80000000000E-0001 -8.38052106369E-0001 
      39  3.90000000000E-0001 -8.64121510866E-0001 
      40  4.00000000000E-0001 -8.88352151481E-0001 
      41  4.10000000000E-0001 -9.10758773177E-0001 
      42  4.20000000000E-0001 -9.31067772324E-0001 
      43  4.30000000000E-0001 -9.48929435294E-0001 
      44  4.40000000000E-0001 -9.64217887309E-0001 
      45  4.50000000000E-0001 -9.76946364469E-0001 
      46  4.60000000000E-0001 -9.87034897250E-0001 
      47  4.70000000000E-0001 -9.94302309766E-0001 
      48  4.80000000000E-0001 -9.98657020836E-0001 
      49  4.90000000000E-0001 -1.00011489675E+0000 
      50  5.00000000000E-0001 -9.98672953075E-0001 
      51  5.10000000000E-0001 -9.94297335035E-0001 
      52  5.20000000000E-0001 -9.87035923410E-0001 
      53  5.30000000000E-0001 -9.77032020058E-0001 
      54  5.40000000000E-0001 -9.64350744211E-0001 
      55  5.50000000000E-0001 -9.48975607001E-0001 
      56  5.60000000000E-0001 -9.31028440297E-0001 
      57  5.70000000000E-0001 -9.10815361753E-0001 
      58  5.80000000000E-0001 -8.88576337307E-0001 
      59  5.90000000000E-0001 -8.64312987176E-0001 
      60  6.00000000000E-0001 -8.38060544565E-0001 
      61  6.10000000000E-0001 -8.10135906797E-0001 
      62  6.20000000000E-0001 -7.80959321083E-0001 
      63  6.30000000000E-0001 -7.50739018449E-0001 
      64  6.40000000000E-0001 -7.19388051586E-0001 
      65  6.50000000000E-0001 -6.86969645228E-0001 
      66  6.60000000000E-0001 -6.53986035099E-0001 
      67  6.70000000000E-0001 -6.20876311807E-0001 
      68  6.80000000000E-0001 -5.87613428392E-0001 
      69  6.90000000000E-0001 -5.54033945364E-0001 
      70  7.00000000000E-0001 -5.20364666276E-0001 
      71  7.10000000000E-0001 -4.87157017079E-0001 
      72  7.20000000000E-0001 -4.54648998199E-0001 
      73  7.30000000000E-0001 -4.22642635897E-0001 
      74  7.40000000000E-0001 -3.91011030977E-0001 
      75  7.50000000000E-0001 -3.60041683027E-0001 
      76  7.60000000000E-0001 -3.30252721344E-0001 
      77  7.70000000000E-0001 -3.01714173128E-0001 
      78  7.80000000000E-0001 -2.74023994071E-0001 
      79  7.90000000000E-0001 -2.47126758966E-0001 
      80  8.00000000000E-0001 -2.21483416321E-0001 
      81  8.10000000000E-0001 -1.97443894777E-0001 
      82  8.20000000000E-0001 -1.74800476772E-0001 
      83  8.30000000000E-0001 -1.53168279442E-0001 
      84  8.40000000000E-0001 -1.32662780152E-0001 
      85  8.50000000000E-0001 -1.13726443586E-0001 
      86  8.60000000000E-0001 -9.65167750701E-0002 
      87  8.70000000000E-0001 -8.07247308489E-0002 
      88  8.80000000000E-0001 -6.59936453244E-0002 
      89  8.90000000000E-0001 -5.25531093517E-0002 
      90  9.00000000000E-0001 -4.08982241938E-0002 
      91  9.10000000000E-0001 -3.09617666893E-0002 
      92  9.20000000000E-0001 -2.22826099535E-0002 
      93  9.30000000000E-0001 -1.47175601769E-0002 
      94  9.40000000000E-0001 -8.64946534315E-0003 
      95  9.50000000000E-0001 -4.40743800677E-0003 
      96  9.60000000000E-0001 -1.74473036338E-0003 
      97  9.70000000000E-0001 -2.65392480080E-0004 
      98  9.80000000000E-0001  1.68407313327E-0005 
      99  9.90000000000E-0001 -1.30310127327E-0003 
     100  1.00000000000E+0000 -4.46429932177E-0003 
     101  1.01000000000E+0000 -9.08730172493E-0003 
     102  1.02000000000E+0000 -1.47804662616E-0002 
     103  1.03000000000E+0000 -2.17982142723E-0002 
     104  1.04000000000E+0000 -3.05796846814E-0002 
     105  1.05000000000E+0000 -4.10923864434E-0002 
     106  1.06000000000E+0000 -5.28905809344E-0002 
     107  1.07000000000E+0000 -6.57872764786E-0002 
     108  1.08000000000E+0000 -8.01432866170E-0002 
     109  1.09000000000E+0000 -9.62636548767E-0002 
     110  1.10000000000E+0000 -1.13971115117E-0001 
     111  1.11000000000E+0000 -1.32828952347E-0001 
     112  1.12000000000E+0000 -1.52748632949E-0001 
     113  1.13000000000E+0000 -1.74182529420E-0001 
     114  1.14000000000E+0000 -1.97325297994E-0001 
     115  1.15000000000E+0000 -2.21745872569E-0001 
     116  1.16000000000E+0000 -2.47061767054E-0001 
     117  1.17000000000E+0000 -2.73418214301E-0001 
     118  1.18000000000E+0000 -3.01177028296E-0001 
     119  1.19000000000E+0000 -3.30270531289E-0001 
     120  1.20000000000E+0000 -3.60203344242E-0001 
     121  1.21000000000E+0000 -3.90714264258E-0001 
     122  1.22000000000E+0000 -4.21984296557E-0001 
     123  1.23000000000E+0000 -4.54238989261E-0001 
     124  1.24000000000E+0000 -4.87238353177E-0001 
     125  1.25000000000E+0000 -5.20399093483E-0001 
     126  1.26000000000E+0000 -5.53563495300E-0001 
     127  1.27000000000E+0000 -5.86986025190E-0001 
     128  1.28000000000E+0000 -6.20644267504E-0001 
     129  1.29000000000E+0000 -6.54079525140E-0001 
     130  1.30000000000E+0000 -6.86833864198E-0001 
     131  1.31000000000E+0000 -7.18862716459E-0001 
     132  1.32000000000E+0000 -7.50276032633E-0001 
     133  1.33000000000E+0000 -7.80865185967E-0001 
     134  1.34000000000E+0000 -8.10166977812E-0001 
     135  1.35000000000E+0000 -8.37841130088E-0001 
     136  1.36000000000E+0000 -8.63879345708E-0001 
     137  1.37000000000E+0000 -8.88304437245E-0001 
     138  1.38000000000E+0000 -9.10808043314E-0001 
     139  1.39000000000E+0000 -9.31006865455E-0001 
     140  1.40000000000E+0000 -9.48773541466E-0001 
     141  1.41000000000E+0000 -9.64118858595E-0001 
     142  1.42000000000E+0000 -9.76947274101E-0001 
     143  1.43000000000E+0000 -9.87041900431E-0001 
     144  1.44000000000E+0000 -9.94270751248E-0001 
     145  1.45000000000E+0000 -9.98630228791E-0001 
     146  1.46000000000E+0000 -1.00011449381E+0000 
     147  1.47000000000E+0000 -9.98669942803E-0001 
     148  1.48000000000E+0000 -9.94297822476E-0001 
     149  1.49000000000E+0000 -9.87103183593E-0001 
     150  1.50000000000E+0000 -9.77136523731E-0001 
     151  1.51000000000E+0000 -9.64380319402E-0001 
     152  1.52000000000E+0000 -9.48943730715E-0001 
     153  1.53000000000E+0000 -9.31084061198E-0001 
     154  1.54000000000E+0000 -9.11012709612E-0001 
     155  1.55000000000E+0000 -8.88746193726E-0001 
     156  1.56000000000E+0000 -8.64315677903E-0001 
     157  1.57000000000E+0000 -8.38024044322E-0001 
     158  1.58000000000E+0000 -8.10276051766E-0001 
     159  1.59000000000E+0000 -7.81266741605E-0001 
     160  1.60000000000E+0000 -7.50916035303E-0001 
     161  1.61000000000E+0000 -7.19307205541E-0001 
     162  1.62000000000E+0000 -6.86954169388E-0001 
     163  1.63000000000E+0000 -6.54269406520E-0001 
     164  1.64000000000E+0000 -6.21217680373E-0001 
     165  1.65000000000E+0000 -5.87683997452E-0001 
     166  1.66000000000E+0000 -5.53913426528E-0001 
     167  1.67000000000E+0000 -5.20438328323E-0001 
     168  1.68000000000E+0000 -4.87511890855E-0001 
     169  1.69000000000E+0000 -4.54944290497E-0001 
     170  1.70000000000E+0000 -4.22619614262E-0001 
     171  1.71000000000E+0000 -3.90862726802E-0001 
     172  1.72000000000E+0000 -3.60197700658E-0001 
     173  1.73000000000E+0000 -3.30675433599E-0001 
     174  1.74000000000E+0000 -3.01897077668E-0001 
     175  1.75000000000E+0000 -2.73857970939E-0001 
     176  1.76000000000E+0000 -2.47039773333E-0001 
     177  1.77000000000E+0000 -2.21754468125E-0001 
     178  1.78000000000E+0000 -1.97804240953E-0001 
     179  1.79000000000E+0000 -1.74835620392E-0001 
     180  1.80000000000E+0000 -1.52961369042E-0001 
     181  1.81000000000E+0000 -1.32643766492E-0001 
     182  1.82000000000E+0000 -1.14039520408E-0001 
     183  1.83000000000E+0000 -9.68101298259E-0002 
     184  1.84000000000E+0000 -8.06208059387E-0002 
     185  1.85000000000E+0000 -6.57373038175E-0002 
     186  1.86000000000E+0000 -5.26503145234E-0002 
     187  1.87000000000E+0000 -4.12520793364E-0002 
     188  1.88000000000E+0000 -3.10858833434E-0002 
     189  1.89000000000E+0000 -2.20572635040E-0002 
     190  1.90000000000E+0000 -1.45330017754E-0002 
     191  1.91000000000E+0000 -8.82601380788E-0003 
     192  1.92000000000E+0000 -4.69955233362E-0003 
     193  1.93000000000E+0000 -1.73853365987E-0003 
     194  1.94000000000E+0000  2.32674662082E-0005 
     195  1.95000000000E+0000  1.53748094962E-0004 
     196  1.96000000000E+0000 -1.55372788888E-0003 
     197  1.97000000000E+0000 -4.69499907598E-0003 
     198  1.98000000000E+0000 -8.90053128003E-0003 
     199  1.99000000000E+0000 -1.44616947473E-0002 
     200  2.00000000000E+0000 -2.17975376250E-0002 
     201  2.01000000000E+0000 -3.08376783072E-0002 
     202  2.02000000000E+0000 -4.11664328518E-0002 
     203  2.03000000000E+0000 -5.26057436169E-0002 
     204  2.04000000000E+0000 -6.55109885009E-0002 
     205  2.05000000000E+0000 -8.02097097344E-0002 
     206  2.06000000000E+0000 -9.64946549081E-0002 
     207  2.07000000000E+0000 -1.13920268348E-0001 
     208  2.08000000000E+0000 -1.32443561473E-0001 
     209  2.09000000000E+0000 -1.52531398377E-0001 
     210  2.10000000000E+0000 -1.74355310917E-0001 
     211  2.11000000000E+0000 -1.97463864522E-0001 
     212  2.12000000000E+0000 -2.21515316010E-0001 
     213  2.13000000000E+0000 -2.46685332677E-0001 
     214  2.14000000000E+0000 -2.73312814464E-0001 
     215  2.15000000000E+0000 -3.01343587113E-0001 
     216  2.16000000000E+0000 -3.30290307662E-0001 
     217  2.17000000000E+0000 -3.59886549782E-0001 
     218  2.18000000000E+0000 -3.90364385491E-0001 
     219  2.19000000000E+0000 -4.21959852275E-0001 
     220  2.20000000000E+0000 -4.54403521465E-0001 
     221  2.21000000000E+0000 -4.87126206603E-0001 
     222  2.22000000000E+0000 -5.20005606317E-0001 
     223  2.23000000000E+0000 -5.53326974668E-0001 
     224  2.24000000000E+0000 -5.87046467542E-0001 
     225  2.25000000000E+0000 -6.20703975087E-0001 
     226  2.26000000000E+0000 -6.53871033381E-0001 
     227  2.27000000000E+0000 -6.86498478917E-0001 
     228  2.28000000000E+0000 -7.18723534220E-0001 
     229  2.29000000000E+0000 -7.50343495858E-0001 
     230  2.30000000000E+0000 -7.80857398049E-0001 
     231  2.31000000000E+0000 -8.09933552293E-0001 
     232  2.32000000000E+0000 -8.37587735499E-0001 
     233  2.33000000000E+0000 -8.63842393200E-0001 
     234  2.34000000000E+0000 -8.88361657143E-0001 
     235  2.35000000000E+0000 -9.10731433316E-0001 
     236  2.36000000000E+0000 -9.30830413167E-0001 
     237  2.37000000000E+0000 -9.48663976949E-0001 
     238  2.38000000000E+0000 -9.64120589471E-0001 
     239  2.39000000000E+0000 -9.76958084458E-0001 
     240  2.40000000000E+0000 -9.86994348886E-0001 
     241  2.41000000000E+0000 -9.94216381041E-0001 
     242  2.42000000000E+0000 -9.98616544809E-0001 
     243  2.43000000000E+0000 -1.00011440217E+0000 
     244  2.44000000000E+0000 -9.98670913424E-0001 
     245  2.45000000000E+0000 -9.94344417617E-0001 
     246  2.46000000000E+0000 -9.87178634210E-0001 
     247  2.47000000000E+0000 -9.77155416186E-0001 
     248  2.48000000000E+0000 -9.64355523902E-0001 
     249  2.49000000000E+0000 -9.48995860924E-0001 
     250  2.50000000000E+0000 -9.31255564725E-0001 
