Graph  2
Node Disp:DZ  Node 117
   Point                    X                    Y
       1  1.00000000000E-0002 -2.65994855207E-0004 
       2  2.00000000000E-0002 -1.46208432685E-0003 
       3  3.00000000000E-0002 -4.25506606049E-0003 
       4  4.00000000000E-0002 -8.88555499295E-0003 
       5  5.00000000000E-0002 -1.49881050832E-0002 
       6  6.00000000000E-0002 -2.21772960212E-0002 
       7  7.00000000000E-0002 -3.06811424084E-0002 
       8  8.00000000000E-0002 -4.09517142556E-0002 
       9  9.00000000000E-0002 -5.29661361029E-0002 
      10  1.00000000000E-0001 -6.62355111186E-0002 
      11  1.10000000000E-0001 -8.06035137204E-0002 
      12  1.20000000000E-0001 -9.64581254023E-0002 
      13  1.30000000000E-0001 -1.14067274416E-0001 
      14  1.40000000000E-0001 -1.33222419191E-0001 
      15  1.50000000000E-0001 -1.53485465205E-0001 
      16  1.60000000000E-0001 -1.74821443951E-0001 
      17  1.70000000000E-0001 -1.97679281860E-0001 
      18  1.80000000000E-0001 -2.22187899200E-0001 
      19  1.90000000000E-0001 -2.47893959128E-0001 
      20  2.00000000000E-0001 -2.74431110259E-0001 
      21  2.10000000000E-0001 -3.01994586776E-0001 
      22  2.20000000000E-0001 -3.30940527184E-0001 
      23  2.30000000000E-0001 -3.61086416877E-0001 
      24  2.40000000000E-0001 -3.91919499559E-0001 
      25  2.50000000000E-0001 -4.23258984973E-0001 
      26  2.60000000000E-0001 -4.55309822486E-0001 
      27  2.70000000000E-0001 -4.88234496732E-0001 
      28  2.80000000000E-0001 -5.21679462224E-0001 
      29  2.90000000000E-0001 -5.55094742103E-0001 
      30  3.00000000000E-0001 -5.88421726933E-0001 
      31  3.10000000000E-0001 -6.21888833716E-0001 
      32  3.20000000000E-0001 -6.55378583483E-0001 
      33  3.30000000000E-0001 -6.88365445359E-0001 
      34  3.40000000000E-0001 -7.20462890426E-0001 
      35  3.50000000000E-0001 -7.51718188082E-0001 
      36  3.60000000000E-0001 -7.82172385557E-0001 
      37  3.70000000000E-0001 -8.11517334106E-0001 
      38  3.80000000000E-0001 -8.39301880657E-0001 
      39  3.90000000000E-0001 -8.65280065090E-0001 
      40  4.00000000000E-0001 -8.89493057509E-0001 
      41  4.10000000000E-0001 -9.11875803986E-0001 
      42  4.20000000000E-0001 -9.32071499405E-0001 
      43  4.30000000000E-0001 -9.49781292930E-0001 
      44  4.40000000000E-0001 -9.64951999995E-0001 
      45  4.50000000000E-0001 -9.77584803790E-0001 
      46  4.60000000000E-0001 -9.87539648674E-0001 
      47  4.70000000000E-0001 -9.94634551544E-0001 
      48  4.80000000000E-0001 -9.98818867472E-0001 
      49  4.90000000000E-0001 -1.00011040218E+0000 
      50  5.00000000000E-0001 -9.98483714567E-0001 
      51  5.10000000000E-0001 -9.93912463163E-0001 
      52  5.20000000000E-0001 -9.86481476310E-0001 
      53  5.30000000000E-0001 -9.76311216506E-0001 
      54  5.40000000000E-0001 -9.63410152240E-0001 
      55  5.50000000000E-0001 -9.47796486413E-0001 
      56  5.60000000000E-0001 -9.29677991145E-0001 
      57  5.70000000000E-0001 -9.09355607378E-0001 
      58  5.80000000000E-0001 -8.86951585862E-0001 
      59  5.90000000000E-0001 -8.62437565199E-0001 
      60  6.00000000000E-0001 -8.35975718306E-0001 
      61  6.10000000000E-0001 -8.07966156680E-0001 
      62  6.20000000000E-0001 -7.78761435410E-0001 
      63  6.30000000000E-0001 -7.48392522794E-0001 
      64  6.40000000000E-0001 -7.16776842750E-0001 
      65  6.50000000000E-0001 -6.84242296478E-0001 
      66  6.60000000000E-0001 -6.51338104360E-0001 
      67  6.70000000000E-0001 -6.18244482493E-0001 
      68  6.80000000000E-0001 -5.84800573354E-0001 
      69  6.90000000000E-0001 -5.51032005204E-0001 
      70  7.00000000000E-0001 -5.17410376965E-0001 
      71  7.10000000000E-0001 -4.84377231119E-0001 
      72  7.20000000000E-0001 -4.51887679115E-0001 
      73  7.30000000000E-0001 -4.19720996538E-0001 
      74  7.40000000000E-0001 -3.87986597182E-0001 
      75  7.50000000000E-0001 -3.57208054141E-0001 
      76  7.60000000000E-0001 -3.27691222315E-0001 
      77  7.70000000000E-0001 -2.99114994409E-0001 
      78  7.80000000000E-0001 -2.71247493276E-0001 
      79  7.90000000000E-0001 -2.44427572242E-0001 
      80  8.00000000000E-0001 -2.19110540344E-0001 
      81  8.10000000000E-0001 -1.95286719667E-0001 
      82  8.20000000000E-0001 -1.72554656673E-0001 
      83  8.30000000000E-0001 -1.50835291108E-0001 
      84  8.40000000000E-0001 -1.30534874990E-0001 
      85  8.50000000000E-0001 -1.11968631929E-0001 
      86  8.60000000000E-0001 -9.49405257672E-0002 
      87  8.70000000000E-0001 -7.90063553332E-0002 
      88  8.80000000000E-0001 -6.42483162395E-0002 
      89  8.90000000000E-0001 -5.11931547625E-0002 
      90  9.00000000000E-0001 -3.99164947520E-0002 
      91  9.10000000000E-0001 -3.00040133517E-0002 
      92  9.20000000000E-0001 -2.12018455339E-0002 
      93  9.30000000000E-0001 -1.37831476898E-0002 
      94  9.40000000000E-0001 -8.16018375544E-0003 
      95  9.50000000000E-0001 -4.21715608499E-0003 
      96  9.60000000000E-0001 -1.52131337839E-0003 
      97  9.70000000000E-0001  3.52290907073E-0005 
      98  9.80000000000E-0001  5.65051867488E-0005 
      99  9.90000000000E-0001 -1.78743120660E-0003 
     100  1.00000000000E+0000 -5.15702539280E-0003 
     101  1.01000000000E+0000 -9.62595880804E-0003 
     102  1.02000000000E+0000 -1.53785030099E-0002 
     103  1.03000000000E+0000 -2.28417063589E-0002 
     104  1.04000000000E+0000 -3.20718611521E-0002 
     105  1.05000000000E+0000 -4.26613295198E-0002 
     106  1.06000000000E+0000 -5.43456962421E-0002 
     107  1.07000000000E+0000 -6.74371838515E-0002 
     108  1.08000000000E+0000 -8.23038256158E-0002 
     109  1.09000000000E+0000 -9.88192796847E-0002 
     110  1.10000000000E+0000 -1.16501260863E-0001 
     111  1.11000000000E+0000 -1.35250971145E-0001 
     112  1.12000000000E+0000 -1.55544181208E-0001 
     113  1.13000000000E+0000 -1.77556141503E-0001 
     114  1.14000000000E+0000 -2.00893838321E-0001 
     115  1.15000000000E+0000 -2.25195860453E-0001 
     116  1.16000000000E+0000 -2.50566662200E-0001 
     117  1.17000000000E+0000 -2.77381944094E-0001 
     118  1.18000000000E+0000 -3.05609705284E-0001 
     119  1.19000000000E+0000 -3.34754687869E-0001 
     120  1.20000000000E+0000 -3.64535436599E-0001 
     121  1.21000000000E+0000 -3.95172094166E-0001 
     122  1.22000000000E+0000 -4.26930973484E-0001 
     123  1.23000000000E+0000 -4.59504250582E-0001 
     124  1.24000000000E+0000 -4.92322130152E-0001 
     125  1.25000000000E+0000 -5.25316367554E-0001 
     126  1.26000000000E+0000 -5.58714607270E-0001 
     127  1.27000000000E+0000 -5.92474277639E-0001 
     128  1.28000000000E+0000 -6.26149650665E-0001 
     129  1.29000000000E+0000 -6.59284545309E-0001 
     130  1.30000000000E+0000 -6.91870525588E-0001 
     131  1.31000000000E+0000 -7.24036956344E-0001 
     132  1.32000000000E+0000 -7.55547008819E-0001 
     133  1.33000000000E+0000 -7.85887420315E-0001 
     134  1.34000000000E+0000 -8.14750196205E-0001 
     135  1.35000000000E+0000 -8.42205171654E-0001 
     136  1.36000000000E+0000 -8.68217881671E-0001 
     137  1.37000000000E+0000 -8.92409846375E-0001 
     138  1.38000000000E+0000 -9.14426177279E-0001 
     139  1.39000000000E+0000 -9.34151916062E-0001 
     140  1.40000000000E+0000 -9.51590866176E-0001 
     141  1.41000000000E+0000 -9.66620479248E-0001 
     142  1.42000000000E+0000 -9.78977343619E-0001 
     143  1.43000000000E+0000 -9.88514525187E-0001 
     144  1.44000000000E+0000 -9.95233110215E-0001 
     145  1.45000000000E+0000 -9.99112748419E-0001 
     146  1.46000000000E+0000 -1.00006836205E+0000 
     147  1.47000000000E+0000 -9.98080282213E-0001 
     148  1.48000000000E+0000 -9.93216709020E-0001 
     149  1.49000000000E+0000 -9.85499402722E-0001 
     150  1.50000000000E+0000 -9.74925574241E-0001 
     151  1.51000000000E+0000 -9.61602620951E-0001 
     152  1.52000000000E+0000 -9.45758952194E-0001 
     153  1.53000000000E+0000 -9.27549723589E-0001 
     154  1.54000000000E+0000 -9.06958345040E-0001 
     155  1.55000000000E+0000 -8.84068765805E-0001 
     156  1.56000000000E+0000 -8.59232301749E-0001 
     157  1.57000000000E+0000 -8.32811741946E-0001 
     158  1.58000000000E+0000 -8.04867578656E-0001 
     159  1.59000000000E+0000 -7.75329348931E-0001 
     160  1.60000000000E+0000 -7.44481631442E-0001 
     161  1.61000000000E+0000 -7.12825603919E-0001 
     162  1.62000000000E+0000 -6.80606076464E-0001 
     163  1.63000000000E+0000 -6.47761525963E-0001 
     164  1.64000000000E+0000 -6.14262502188E-0001 
     165  1.65000000000E+0000 -5.80504912883E-0001 
     166  1.66000000000E+0000 -5.47015902376E-0001 
     167  1.67000000000E+0000 -5.13850643193E-0001 
     168  1.68000000000E+0000 -4.80767794095E-0001 
     169  1.69000000000E+0000 -4.47846192234E-0001 
     170  1.70000000000E+0000 -4.15624257953E-0001 
     171  1.71000000000E+0000 -3.84455497923E-0001 
     172  1.72000000000E+0000 -3.54099800147E-0001 
     173  1.73000000000E+0000 -3.24338894166E-0001 
     174  1.74000000000E+0000 -2.95429240436E-0001 
     175  1.75000000000E+0000 -2.67828797568E-0001 
     176  1.76000000000E+0000 -2.41677370471E-0001 
     177  1.77000000000E+0000 -2.16606557508E-0001 
     178  1.78000000000E+0000 -1.92424110211E-0001 
     179  1.79000000000E+0000 -1.69534772252E-0001 
     180  1.80000000000E+0000 -1.48341242737E-0001 
     181  1.81000000000E+0000 -1.28687484827E-0001 
     182  1.82000000000E+0000 -1.10123100311E-0001 
     183  1.83000000000E+0000 -9.26848986912E-0002 
     184  1.84000000000E+0000 -7.68651293928E-0002 
     185  1.85000000000E+0000 -6.28118094736E-0002 
     186  1.86000000000E+0000 -5.01981562434E-0002 
     187  1.87000000000E+0000 -3.87076912248E-0002 
     188  1.88000000000E+0000 -2.85013398972E-0002 
     189  1.89000000000E+0000 -2.00556166180E-0002 
     190  1.90000000000E+0000 -1.33682502807E-0002 
     191  1.91000000000E+0000 -7.95900947338E-0003 
     192  1.92000000000E+0000 -3.65713297906E-0003 
     193  1.93000000000E+0000 -8.45357209896E-0004 
     194  1.94000000000E+0000  1.16926487301E-0004 
     195  1.95000000000E+0000 -5.03703472879E-0004 
     196  1.96000000000E+0000 -2.27150327196E-0003 
     197  1.97000000000E+0000 -5.27450064810E-0003 
     198  1.98000000000E+0000 -9.91277021695E-0003 
     199  1.99000000000E+0000 -1.63541960635E-0002 
     200  2.00000000000E+0000 -2.42506352871E-0002 
     201  2.01000000000E+0000 -3.32266582407E-0002 
     202  2.02000000000E+0000 -4.35380518823E-0002 
     203  2.03000000000E+0000 -5.56366860322E-0002 
     204  2.04000000000E+0000 -6.94412889107E-0002 
     205  2.05000000000E+0000 -8.44788398300E-0002 
     206  2.06000000000E+0000 -1.00598894271E-0001 
     207  2.07000000000E+0000 -1.18220535346E-0001 
